date,minute,encounter,behavior,t_index,ws,pc,cc
10/7/2021,25,7,Mill,-15,0,0,0
10/7/2021,26,7,Mill,-14,0,0,0
10/7/2021,27,7,Mill,-13,0,0,0
10/7/2021,28,7,Mill,-12,0,0,0
10/7/2021,29,7,Mill,-11,0,0,0
10/7/2021,30,7,Mill,-10,0,0,0
10/7/2021,31,7,Mill,-9,0,0,0
10/7/2021,32,7,Mill,-8,0,0,0
10/7/2021,33,7,Mill,-7,0,0,0
10/7/2021,34,7,Mill,-6,0,0,0
10/7/2021,35,7,Mill,-5,0,0,0
10/7/2021,36,7,Mill,-4,0,0,0
10/7/2021,37,7,Mill,-3,0,0,0
10/7/2021,38,7,Mill,-2,0,0,0
10/7/2021,39,7,Mill,-1,0,0,0
8/24/2022,1,13,Travel,0,0,0,0
8/24/2022,2,13,Travel,1,0,0,0
8/24/2022,3,13,Travel,2,0,0,0
8/24/2022,4,13,Travel,3,0,0,0
8/24/2022,5,13,Travel,4,0,0,0
8/24/2022,6,13,Travel,5,0,0,0
8/24/2022,7,13,Travel,6,0,0,0
8/24/2022,8,13,Travel,7,2,0,0
8/24/2022,9,13,Travel,8,0,0,0
8/24/2022,10,13,Travel,9,7,0,0
8/24/2022,11,13,Travel,10,2,0,0
8/24/2022,12,13,Travel,11,1,0,0
8/24/2022,13,13,Travel,12,2,0,0
8/24/2022,14,13,Travel,13,0,0,0
8/24/2022,15,13,Travel,14,0,0,0
8/24/2022,16,13,Travel,15,0,0,0
8/24/2022,17,13,Travel,16,0,0,0
8/24/2022,18,13,Travel,17,0,0,0
8/24/2022,19,13,Travel,18,0,0,0
8/24/2022,20,13,Travel,19,1,0,0
8/24/2022,21,13,Travel,20,0,0,0
8/24/2022,22,13,Mill,-21,0,3,0
8/24/2022,23,13,Mill,-20,0,2,0
8/24/2022,24,13,Mill,-19,0,0,0
8/24/2022,25,13,Mill,-18,0,0,0
8/24/2022,26,13,Mill,-17,0,1,0
8/24/2022,27,13,Mill,-16,0,6,6
8/24/2022,28,13,Mill,-15,0,6,17
8/24/2022,29,13,Mill,-14,0,0,0
8/24/2022,30,13,Mill,-13,2,2,0
8/24/2022,31,13,Mill,-12,0,0,0
8/24/2022,32,13,Mill,-11,0,0,0
8/24/2022,33,13,Mill,-10,0,0,0
8/24/2022,34,13,Mill,-9,1,0,0
8/24/2022,35,13,Mill,-8,0,0,0
8/24/2022,36,13,Mill,-7,1,0,0
8/24/2022,37,13,Mill,-6,10,0,0
8/24/2022,38,13,Mill,-5,8,0,0
8/24/2022,39,13,Mill,-4,1,0,0
8/24/2022,40,13,Mill,-3,5,0,0
8/24/2022,41,13,Mill,-2,5,0,0
8/24/2022,42,13,Mill,-1,6,0,0
8/24/2022,43,13,Travel,0,1,0,0
8/24/2022,44,13,Travel,1,5,0,0
8/24/2022,45,13,Travel,2,5,0,0
8/24/2022,46,13,Travel,3,7,0,0
8/24/2022,47,13,Travel,4,3,0,0
8/24/2022,48,13,Travel,5,7,0,0
8/24/2022,49,13,Travel,6,9,0,0
8/24/2022,50,13,Travel,7,15,2,0
8/24/2022,51,13,Travel,8,16,0,0
8/24/2022,52,13,Travel,9,6,0,0
8/24/2022,53,13,Travel,10,4,0,0
8/24/2022,54,13,Travel,11,11,0,0
8/24/2022,55,13,Travel,12,16,0,0
8/24/2022,56,13,Travel,13,2,0,0
8/24/2022,57,13,Travel,14,2,0,0
8/24/2022,58,13,Travel,15,1,0,0
8/24/2022,59,13,Travel,16,1,0,0
8/24/2022,60,13,Travel,17,0,0,0
8/24/2022,61,13,Travel,18,0,0,0
8/24/2022,62,13,Travel,19,0,0,0
8/24/2022,63,13,Travel,20,0,0,0
8/24/2022,64,13,Mill,-42,1,0,0
8/24/2022,65,13,Mill,-41,0,0,0
8/24/2022,66,13,Mill,-40,0,0,0
8/24/2022,67,13,Mill,-39,0,0,0
8/24/2022,68,13,Mill,-38,0,0,0
8/24/2022,69,13,Mill,-37,0,0,0
8/24/2022,70,13,Mill,-36,0,0,0
8/24/2022,71,13,Mill,-35,0,0,0
8/24/2022,72,13,Mill,-34,0,0,0
8/24/2022,73,13,Mill,-33,0,0,0
8/24/2022,74,13,Mill,-32,0,0,0
8/24/2022,75,13,Mill,-31,0,0,0
8/24/2022,76,13,Mill,-30,0,0,0
8/24/2022,77,13,Mill,-29,0,0,0
8/24/2022,78,13,Mill,-28,0,0,0
8/24/2022,79,13,Mill,-27,0,0,0
8/24/2022,80,13,Mill,-26,0,0,0
8/24/2022,81,13,Mill,-25,0,0,0
8/24/2022,82,13,Mill,-24,0,0,0
8/24/2022,83,13,Mill,-23,0,0,0
8/24/2022,84,13,Mill,-22,0,0,0
8/24/2022,85,13,Mill,-21,0,0,0
8/24/2022,86,13,Mill,-20,0,0,0
8/24/2022,87,13,Mill,-19,0,0,0
8/24/2022,88,13,Mill,-18,0,0,0
8/24/2022,89,13,Mill,-17,0,0,0
8/24/2022,90,13,Mill,-16,0,0,0
8/24/2022,91,13,Mill,-15,0,0,0
8/24/2022,92,13,Mill,-14,0,0,0
8/24/2022,93,13,Mill,-13,0,0,0
8/24/2022,94,13,Mill,-12,0,0,0
8/24/2022,95,13,Mill,-11,0,0,0
8/24/2022,96,13,Mill,-10,0,0,0
8/24/2022,97,13,Mill,-9,0,0,0
8/24/2022,98,13,Mill,-8,0,0,0
8/24/2022,99,13,Mill,-7,0,0,0
8/24/2022,100,13,Mill,-6,0,0,0
8/24/2022,101,13,Mill,-5,0,0,0
8/24/2022,102,13,Mill,-4,0,0,0
8/24/2022,103,13,Mill,-3,0,0,0
8/24/2022,104,13,Mill,-2,0,0,0
8/24/2022,105,13,Mill,-1,0,0,0
8/24/2022,106,13,Travel,0,0,0,0
8/24/2022,107,13,Travel,1,0,0,0
8/24/2022,108,13,Travel,2,0,0,0
8/24/2022,109,13,Travel,3,0,0,0
8/24/2022,110,13,Travel,4,0,0,0
8/24/2022,111,13,Travel,5,0,0,0
8/24/2022,112,13,Travel,6,0,0,0
8/24/2022,113,13,Travel,7,2,0,0
8/24/2022,114,13,Travel,8,1,2,0
8/24/2022,115,13,Travel,9,1,4,0
8/24/2022,116,13,Travel,10,0,0,0
8/24/2022,117,13,Travel,11,0,0,0
8/24/2022,118,13,Travel,12,3,1,0
8/24/2022,119,13,Travel,13,1,1,0
8/24/2022,120,13,Travel,14,0,0,0
8/24/2022,121,13,Travel,15,0,0,0
8/24/2022,122,13,Travel,16,0,2,0
8/24/2022,123,13,Travel,17,2,2,0
8/24/2022,124,13,Travel,18,0,0,0
8/24/2022,125,13,Travel,19,1,0,0
8/24/2022,126,13,Travel,20,0,1,0
8/24/2022,127,13,Mill,-42,1,0,0
8/24/2022,128,13,Mill,-41,0,0,0
8/24/2022,129,13,Mill,-40,0,0,0
8/24/2022,130,13,Mill,-39,0,0,0
8/24/2022,131,13,Mill,-38,0,2,0
8/24/2022,132,13,Mill,-37,0,0,0
8/24/2022,133,13,Mill,-36,0,0,0
8/24/2022,134,13,Mill,-35,0,0,0
8/24/2022,135,13,Mill,-34,0,1,0
8/24/2022,136,13,Mill,-33,0,0,0
8/24/2022,137,13,Mill,-32,0,0,0
8/24/2022,138,13,Mill,-31,0,0,0
8/24/2022,139,13,Mill,-30,0,0,0
8/24/2022,140,13,Mill,-29,0,0,0
8/24/2022,141,13,Mill,-28,0,0,0
8/24/2022,142,13,Mill,-27,0,0,0
8/24/2022,143,13,Mill,-26,0,0,0
8/24/2022,144,13,Mill,-25,0,0,0
8/24/2022,145,13,Mill,-24,0,0,0
8/24/2022,146,13,Mill,-23,0,0,0
8/24/2022,147,13,Mill,-22,0,0,0
8/24/2022,148,13,Mill,-21,0,0,0
8/24/2022,149,13,Mill,-20,0,0,0
8/24/2022,150,13,Mill,-19,0,0,0
8/24/2022,151,13,Mill,-18,0,0,0
8/24/2022,152,13,Mill,-17,0,0,0
8/24/2022,153,13,Mill,-16,0,0,0
8/24/2022,154,13,Mill,-15,0,0,0
8/24/2022,155,13,Mill,-14,0,0,0
8/24/2022,156,13,Mill,-13,0,0,0
8/24/2022,157,13,Mill,-12,0,0,0
8/24/2022,158,13,Mill,-11,0,0,0
8/24/2022,159,13,Mill,-10,0,0,0
8/24/2022,160,13,Mill,-9,0,0,0
8/24/2022,161,13,Mill,-8,0,0,0
8/24/2022,162,13,Mill,-7,0,0,0
8/24/2022,163,13,Mill,-6,0,0,0
8/24/2022,164,13,Mill,-5,0,0,0
8/24/2022,165,13,Mill,-4,0,2,0
8/24/2022,166,13,Mill,-3,0,0,0
8/24/2022,167,13,Mill,-2,0,0,0
8/24/2022,168,13,Mill,-1,0,0,0
8/26/2022,1,15,Mill,-42,0,0,0
8/26/2022,2,15,Mill,-41,0,0,0
8/26/2022,3,15,Mill,-40,0,0,0
8/26/2022,4,15,Mill,-39,0,0,0
8/26/2022,5,15,Mill,-38,0,0,0
8/26/2022,6,15,Mill,-37,0,0,0
8/26/2022,7,15,Mill,-36,0,0,0
8/26/2022,8,15,Mill,-35,0,0,0
8/26/2022,9,15,Mill,-34,0,0,0
8/26/2022,10,15,Mill,-33,0,0,0
8/26/2022,11,15,Mill,-32,0,0,0
8/26/2022,12,15,Mill,-31,0,0,0
8/26/2022,13,15,Mill,-30,0,0,0
8/26/2022,14,15,Mill,-29,0,0,0
8/26/2022,15,15,Mill,-28,2,0,0
8/26/2022,16,15,Mill,-27,0,0,0
8/26/2022,17,15,Mill,-26,0,0,0
8/26/2022,18,15,Mill,-25,0,0,0
8/26/2022,19,15,Mill,-24,0,0,0
8/26/2022,20,15,Mill,-23,0,0,0
8/26/2022,21,15,Mill,-22,0,0,0
8/26/2022,22,15,Mill,-21,0,0,0
8/26/2022,23,15,Mill,-20,0,0,0
8/26/2022,24,15,Mill,-19,0,0,0
8/26/2022,25,15,Mill,-18,0,0,0
8/26/2022,26,15,Mill,-17,0,0,0
8/26/2022,27,15,Mill,-16,0,1,0
8/26/2022,28,15,Mill,-15,2,3,0
8/26/2022,29,15,Mill,-14,0,0,0
8/26/2022,30,15,Mill,-13,0,2,0
8/26/2022,31,15,Mill,-12,0,1,0
8/26/2022,32,15,Mill,-11,0,4,0
8/26/2022,33,15,Mill,-10,0,0,0
8/26/2022,34,15,Mill,-9,0,0,0
8/26/2022,35,15,Mill,-8,0,0,0
8/26/2022,36,15,Mill,-7,0,0,0
8/26/2022,37,15,Mill,-6,0,1,0
8/26/2022,38,15,Mill,-5,0,2,0
8/26/2022,39,15,Mill,-4,0,0,0
8/26/2022,40,15,Mill,-3,0,0,0
8/26/2022,41,15,Mill,-2,0,0,0
8/26/2022,42,15,Mill,-1,0,0,0
8/26/2022,43,15,Travel,0,0,3,0
8/26/2022,44,15,Travel,1,8,2,0
8/26/2022,45,15,Travel,2,5,9,0
8/26/2022,46,15,Travel,3,4,5,0
8/26/2022,47,15,Travel,4,6,4,0
8/26/2022,48,15,Travel,5,2,2,0
8/26/2022,49,15,Travel,6,0,6,0
8/26/2022,50,15,Travel,7,0,6,0
8/26/2022,51,15,Travel,8,0,6,0
8/26/2022,52,15,Travel,9,0,0,0
8/26/2022,53,15,Travel,10,0,7,0
8/26/2022,54,15,Travel,11,0,0,0
8/26/2022,55,15,Travel,12,0,1,0
8/26/2022,56,15,Travel,13,1,1,0
8/26/2022,57,15,Travel,14,0,0,0
8/26/2022,58,15,Travel,15,0,0,0
8/26/2022,59,15,Travel,16,0,0,0
8/26/2022,60,15,Travel,17,0,0,0
8/26/2022,61,15,Travel,18,0,0,0
8/26/2022,62,15,Travel,19,0,0,0
8/26/2022,63,15,Travel,20,0,0,0
8/26/2022,64,15,Mill,-42,0,0,0
8/26/2022,65,15,Mill,-41,0,3,0
8/26/2022,66,15,Mill,-40,6,4,0
8/26/2022,67,15,Mill,-39,0,0,0
8/26/2022,68,15,Mill,-38,0,4,0
8/26/2022,69,15,Mill,-37,0,1,0
8/26/2022,70,15,Mill,-36,0,0,0
8/26/2022,71,15,Mill,-35,0,0,0
8/26/2022,72,15,Mill,-34,0,0,0
8/26/2022,73,15,Mill,-33,0,0,0
8/26/2022,74,15,Mill,-32,0,0,0
8/26/2022,75,15,Mill,-31,0,0,0
8/26/2022,76,15,Mill,-30,0,0,0
8/26/2022,77,15,Mill,-29,0,0,0
8/26/2022,78,15,Mill,-28,0,0,0
8/26/2022,79,15,Mill,-27,0,2,0
8/26/2022,80,15,Mill,-26,0,0,0
8/26/2022,81,15,Mill,-25,0,2,0
8/26/2022,82,15,Mill,-24,0,0,0
8/26/2022,83,15,Mill,-23,0,0,0
8/26/2022,84,15,Mill,-22,0,0,0
8/26/2022,85,15,Mill,-21,0,0,0
8/26/2022,86,15,Mill,-20,0,1,0
8/26/2022,87,15,Mill,-19,0,0,0
8/26/2022,88,15,Mill,-18,0,1,0
8/26/2022,89,15,Mill,-17,0,0,0
8/26/2022,90,15,Mill,-16,0,0,0
8/26/2022,91,15,Mill,-15,0,0,0
8/26/2022,92,15,Mill,-14,3,0,0
8/26/2022,93,15,Mill,-13,4,1,0
8/26/2022,94,15,Mill,-12,0,3,0
8/26/2022,95,15,Mill,-11,4,11,0
8/26/2022,96,15,Mill,-10,2,8,0
8/26/2022,97,15,Mill,-9,4,10,0
8/26/2022,98,15,Mill,-8,1,14,0
8/26/2022,99,15,Mill,-7,1,16,0
8/26/2022,100,15,Mill,-6,0,16,0
8/26/2022,101,15,Mill,-5,0,13,0
8/26/2022,102,15,Mill,-4,2,7,0
8/26/2022,103,15,Mill,-3,2,12,0
8/26/2022,104,15,Mill,-2,4,4,0
8/26/2022,105,15,Mill,-1,2,11,0
8/26/2022,1,16,Travel,0,0,1,0
8/26/2022,2,16,Travel,1,0,0,0
8/26/2022,3,16,Travel,2,0,3,0
8/26/2022,4,16,Travel,3,0,0,0
8/26/2022,5,16,Travel,4,0,0,0
8/26/2022,6,16,Travel,5,0,0,0
8/26/2022,7,16,Travel,6,0,0,0
8/26/2022,8,16,Travel,7,0,1,0
8/26/2022,9,16,Travel,8,0,0,0
8/26/2022,10,16,Travel,9,0,0,0
8/26/2022,11,16,Travel,10,0,0,0
8/26/2022,12,16,Travel,11,0,0,0
8/26/2022,13,16,Travel,12,0,0,0
8/26/2022,14,16,Travel,13,0,0,0
8/26/2022,15,16,Travel,14,0,0,0
8/26/2022,16,16,Travel,15,0,0,0
8/26/2022,17,16,Travel,16,0,0,0
8/26/2022,18,16,Travel,17,0,0,0
8/26/2022,19,16,Travel,18,0,0,0
8/26/2022,20,16,Travel,19,0,2,0
8/26/2022,21,16,Travel,20,0,2,0
8/26/2022,22,16,Mill,-21,0,0,0
8/26/2022,23,16,Mill,-20,0,2,0
8/26/2022,24,16,Mill,-19,0,2,0
8/26/2022,25,16,Mill,-18,0,2,0
8/26/2022,26,16,Mill,-17,0,2,0
8/26/2022,27,16,Mill,-16,0,0,0
8/26/2022,28,16,Mill,-15,0,0,0
8/26/2022,29,16,Mill,-14,0,0,0
8/26/2022,30,16,Mill,-13,0,0,0
8/26/2022,31,16,Mill,-12,0,0,0
8/26/2022,32,16,Mill,-11,0,0,0
8/26/2022,33,16,Mill,-10,0,0,0
8/26/2022,34,16,Mill,-9,0,2,0
8/26/2022,35,16,Mill,-8,0,0,0
8/26/2022,36,16,Mill,-7,0,0,0
8/26/2022,37,16,Mill,-6,0,0,0
8/26/2022,38,16,Mill,-5,0,0,0
8/26/2022,39,16,Mill,-4,0,0,0
8/26/2022,40,16,Mill,-3,0,0,0
8/26/2022,41,16,Mill,-2,0,0,0
8/26/2022,42,16,Mill,-1,0,0,0
8/26/2022,43,16,Travel,0,0,0,0
8/26/2022,44,16,Travel,1,0,0,0
8/26/2022,45,16,Travel,2,0,0,0
8/26/2022,46,16,Travel,3,0,0,0
8/26/2022,47,16,Travel,4,0,0,0
8/26/2022,48,16,Travel,5,0,0,0
8/26/2022,49,16,Travel,6,0,0,0
8/26/2022,50,16,Travel,7,0,0,0
8/26/2022,51,16,Travel,8,0,0,0
8/26/2022,52,16,Travel,9,0,0,0
8/26/2022,53,16,Travel,10,0,0,0
8/26/2022,54,16,Travel,11,0,0,0
8/26/2022,55,16,Travel,12,0,0,0
8/26/2022,56,16,Travel,13,0,0,0
8/26/2022,57,16,Travel,14,0,0,0
8/26/2022,58,16,Travel,15,0,0,0
8/26/2022,59,16,Travel,16,0,0,0
8/26/2022,60,16,Travel,17,0,0,0
8/26/2022,61,16,Travel,18,0,0,0
8/26/2022,62,16,Travel,19,0,0,0
8/26/2022,63,16,Travel,20,0,0,0
8/26/2022,64,16,Travel,21,0,0,0
8/26/2022,65,16,Travel,22,0,0,0
8/26/2022,66,16,Travel,23,0,0,0
8/26/2022,67,16,Travel,24,0,0,0
8/26/2022,68,16,Travel,25,0,0,0
8/26/2022,69,16,Travel,26,0,0,0
8/26/2022,70,16,Travel,27,0,0,0
8/26/2022,71,16,Travel,28,0,0,0
