date,time,encounter,tide,group_size,calf_presence,behavior,call_category
9/17/2021,13:24:00,4,Flood,15,yes,Travel,cc
9/17/2021,13:24:00,4,Flood,15,yes,Travel,cc
9/17/2021,13:24:00,4,Flood,15,yes,Travel,cc
9/17/2021,13:24:00,4,Flood,15,yes,Travel,cc
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:26:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:28:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:28:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:28:00,4,Flood,15,yes,Travel,ws
9/17/2021,13:29:00,4,Flood,15,yes,Travel,ws
10/4/2021,10:46:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:48:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:48:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:48:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:51:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:51:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:52:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:54:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:54:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:54:00,5,Ebb,17,yes,Travel,ws
10/4/2021,10:56:00,5,Ebb,17,yes,Travel,ws
10/6/2021,10:49:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
