date,minute,encounter,calf_presence,flatws,pulse.flat,dws,aws,pulse.flat.seg,flatws.seg,pulse.d,aws.seg,uws,pulse.mod,modws,calf_s,difftime_s,calf_next,difftime_next
9/17/2021,31,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,30,39,-8
9/17/2021,32,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,31,39,-7
9/17/2021,33,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,32,39,-6
9/17/2021,34,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,33,39,-5
9/17/2021,35,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,34,39,-4
9/17/2021,36,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,35,39,-3
9/17/2021,37,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,36,39,-2
9/17/2021,38,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,37,39,-1
9/17/2021,39,3,no,0,0,0,0,0,0,0,0,0,0,0,39,0,49,-10
9/17/2021,40,3,no,0,0,0,0,0,0,0,0,0,0,0,39,1,49,-9
9/17/2021,41,3,no,0,0,0,0,0,0,0,0,0,0,0,39,2,49,-8
9/17/2021,42,3,no,0,0,0,0,0,0,0,0,0,0,0,39,3,49,-7
9/17/2021,43,3,no,0,0,0,0,0,0,0,0,0,0,0,39,4,49,-6
9/17/2021,44,3,no,0,0,0,0,0,0,0,0,0,0,0,39,5,49,-5
9/17/2021,45,3,no,0,0,0,0,0,0,0,0,0,0,0,39,6,49,-4
9/17/2021,46,3,no,0,0,0,0,0,0,0,0,0,0,0,39,7,49,-3
9/17/2021,47,3,no,0,0,0,0,0,0,0,0,0,0,0,39,8,49,-2
9/17/2021,48,3,no,0,0,0,0,0,0,0,0,0,0,0,39,9,49,-1
