date,time,encounter,tide,group_size,calf_presence,behavior,call_category
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,pc
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,ws
