minute,behavior,t_index,pulse.flat,flatws,aws,dws,pulse.flat.seg,pulse.d,modws,pulse.a,uws,modws.seg,flatws.seg,pulse.mod,pulse.n,nws,c.13,nws.seq,modws.m,c.9,aws.seg,trill,rws,pulse.mod.seg,c.10,pulse.mod.bc,pulse.flat.seg.2,c.12
14,Mill,13,5,2,9,3,1,3,3,1,2,1,0,1,3,1,0,4,0,0,0,0,3,0,0,1,0,0
15,Mill,14,7,2,3,2,6,12,4,6,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0
16,Mill,15,4,4,12,2,8,5,2,5,0,4,1,2,0,1,0,0,0,4,0,0,0,0,3,0,1,0
17,Mill,16,5,2,3,2,6,1,2,1,0,0,1,0,0,2,0,0,4,0,0,2,0,0,0,0,0,1
18,Travel,-7,3,5,0,1,1,1,1,1,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,1
19,Travel,-6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Travel,-5,1,0,4,2,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Travel,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Travel,-3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Travel,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Travel,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
