minute,behavior,t_index,ws,pc,cc
34,Mill,33,0,0,0
35,Mill,34,0,0,0
36,Mill,35,0,0,0
37,Mill,36,0,1,0
38,Mill,37,0,2,0
39,Mill,38,0,0,0
40,Mill,39,0,0,0
41,Mill,40,0,0,0
42,Mill,41,0,0,0
43,Travel,-21,0,3,0
44,Travel,-20,8,2,0
45,Travel,-19,5,9,0
46,Travel,-18,4,5,0
47,Travel,-17,6,4,0
48,Travel,-16,2,2,0
49,Travel,-15,0,6,0
50,Travel,-14,0,6,0
51,Travel,-13,0,6,0
52,Travel,-12,0,0,0
53,Travel,-11,0,7,0
54,Travel,-10,0,0,0
55,Travel,-9,0,1,0
56,Travel,-8,1,1,0
57,Travel,-7,0,0,0
58,Travel,-6,0,0,0
59,Travel,-5,0,0,0
60,Travel,-4,0,0,0
61,Travel,-3,0,0,0
62,Travel,-2,0,0,0
63,Travel,-1,0,0,0
64,Mill,0,0,0,0
65,Mill,1,0,3,0
66,Mill,2,6,4,0
67,Mill,3,0,0,0
68,Mill,4,0,4,0
69,Mill,5,0,1,0
70,Mill,6,0,0,0
71,Mill,7,0,0,0
72,Mill,8,0,0,0
73,Mill,9,0,0,0
74,Mill,10,0,0,0
75,Mill,11,0,0,0
76,Mill,12,0,0,0
77,Mill,13,0,0,0
78,Mill,14,0,0,0
79,Mill,15,0,2,0
80,Mill,16,0,0,0
81,Mill,17,0,2,0
82,Mill,18,0,0,0
83,Mill,19,0,0,0
84,Mill,20,0,0,0
85,Mill,21,0,0,0
86,Mill,22,0,1,0
87,Mill,23,0,0,0
88,Mill,24,0,1,0
89,Mill,25,0,0,0
90,Mill,26,0,0,0
91,Mill,27,0,0,0
92,Mill,28,3,0,0
93,Mill,29,4,1,0
94,Mill,30,0,3,0
95,Mill,31,4,11,0
96,Mill,32,2,8,0
97,Mill,33,4,10,0
98,Mill,34,1,14,0
99,Mill,35,1,16,0
100,Mill,36,0,16,0
101,Mill,37,0,13,0
102,Mill,38,2,7,0
103,Mill,39,2,12,0
104,Mill,40,4,4,0
105,Mill,41,2,11,0
1,Travel,-21,0,1,0
2,Travel,-20,0,0,0
3,Travel,-19,0,3,0
4,Travel,-18,0,0,0
5,Travel,-17,0,0,0
6,Travel,-16,0,0,0
7,Travel,-15,0,0,0
8,Travel,-14,0,1,0
9,Travel,-13,0,0,0
10,Travel,-12,0,0,0
11,Travel,-11,0,0,0
12,Travel,-10,0,0,0
13,Travel,-9,0,0,0
14,Travel,-8,0,0,0
15,Travel,-7,0,0,0
16,Travel,-6,0,0,0
17,Travel,-5,0,0,0
18,Travel,-4,0,0,0
19,Travel,-3,0,0,0
20,Travel,-2,0,2,0
21,Travel,-1,0,2,0
22,Mill,0,0,0,0
23,Mill,1,0,2,0
24,Mill,2,0,2,0
25,Mill,3,0,2,0
26,Mill,4,0,2,0
27,Mill,5,0,0,0
28,Mill,6,0,0,0
29,Mill,7,0,0,0
30,Mill,8,0,0,0
31,Mill,9,0,0,0
32,Mill,10,0,0,0
33,Mill,11,0,0,0
34,Mill,12,0,2,0
35,Mill,13,0,0,0
36,Mill,14,0,0,0
37,Mill,15,0,0,0
38,Mill,16,0,0,0
39,Mill,17,0,0,0
40,Mill,18,0,0,0
41,Mill,19,0,0,0
42,Mill,20,0,0,0
43,Travel,-29,0,0,0
44,Travel,-28,0,0,0
45,Travel,-27,0,0,0
46,Travel,-26,0,0,0
47,Travel,-25,0,0,0
48,Travel,-24,0,0,0
49,Travel,-23,0,0,0
50,Travel,-22,0,0,0
51,Travel,-21,0,0,0
52,Travel,-20,0,0,0
53,Travel,-19,0,0,0
54,Travel,-18,0,0,0
55,Travel,-17,0,0,0
56,Travel,-16,0,0,0
57,Travel,-15,0,0,0
58,Travel,-14,0,0,0
59,Travel,-13,0,0,0
60,Travel,-12,0,0,0
61,Travel,-11,0,0,0
62,Travel,-10,0,0,0
63,Travel,-9,0,0,0
64,Travel,-8,0,0,0
65,Travel,-7,0,0,0
66,Travel,-6,0,0,0
67,Travel,-5,0,0,0
68,Travel,-4,0,0,0
69,Travel,-3,0,0,0
70,Travel,-2,0,0,0
71,Travel,-1,0,0,0
