date,time,encounter,behavior,call_type,call_category,minute,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,10H 59M 0S,3,Travel,modws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,flatws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,flatws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,flatws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,flatws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,dws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,uws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,uws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,aws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,modws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,dws,ws,15,1,14,18,-3
9/17/2021,10H 59M 0S,3,Travel,modws.seg,ws,15,1,14,18,-3
9/17/2021,11H 0M 0S,3,Travel,dws.seg,ws,16,1,15,18,-2
9/17/2021,11H 0M 0S,3,Travel,dws,ws,16,1,15,18,-2
9/17/2021,11H 1M 0S,3,Travel,flatws,ws,17,1,16,18,-1
9/17/2021,11H 2M 0S,3,Mill,dws,ws,18,18,0,39,-21
9/17/2021,11H 3M 0S,3,Mill,flatws,ws,19,18,1,39,-20
9/17/2021,11H 4M 0S,3,Mill,NA,NA,20,18,2,39,-19
9/17/2021,11H 5M 0S,3,Mill,NA,NA,21,18,3,39,-18
9/17/2021,11H 6M 0S,3,Mill,NA,NA,22,18,4,39,-17
9/17/2021,11H 7M 0S,3,Mill,flatws,ws,23,18,5,39,-16
9/17/2021,11H 8M 0S,3,Mill,NA,NA,24,18,6,39,-15
9/17/2021,11H 9M 0S,3,Mill,NA,NA,25,18,7,39,-14
9/17/2021,11H 10M 0S,3,Mill,NA,NA,26,18,8,39,-13
9/17/2021,11H 11M 0S,3,Mill,NA,NA,27,18,9,39,-12
9/17/2021,11H 12M 0S,3,Mill,NA,NA,28,18,10,39,-11
9/17/2021,11H 13M 0S,3,Mill,c.8,cc,29,18,11,39,-10
9/17/2021,11H 14M 0S,3,Mill,NA,NA,30,18,12,39,-9
9/17/2021,11H 15M 0S,3,Mill,NA,NA,31,18,13,39,-8
9/17/2021,11H 16M 0S,3,Mill,NA,NA,32,18,14,39,-7
9/17/2021,11H 17M 0S,3,Mill,NA,NA,33,18,15,39,-6
9/17/2021,11H 18M 0S,3,Mill,NA,NA,34,18,16,39,-5
